2a5eaf3, 21-07-2015, 4, 10.68
2a5eaf3, 21-07-2015, 8, 10.68
2a5eaf3, 21-07-2015, 16, 10.72
2a5eaf3, 21-07-2015, 32, 10.72
2a5eaf3, 21-07-2015, 64, 10.73
2a5eaf3, 21-07-2015, 128, 10.88
2a5eaf3, 21-07-2015, 256, 10.91
2a5eaf3, 21-07-2015, 512, 11.11
2a5eaf3, 21-07-2015, 1024, 11.45
2a5eaf3, 21-07-2015, 2048, 12.13
2a5eaf3, 21-07-2015, 4096, 12.76
2a5eaf3, 21-07-2015, 8192, 14.04
2a5eaf3, 21-07-2015, 16384, 16.86
2a5eaf3, 21-07-2015, 32768, 22.44
2a5eaf3, 21-07-2015, 65536, 33.72
2a5eaf3, 21-07-2015, 131072, 55.60
2a5eaf3, 21-07-2015, 262144, 97.63
2a5eaf3, 21-07-2015, 524288, 183.42
2a5eaf3, 21-07-2015, 1048576, 358.83
2a5eaf3, 21-07-2015, 2097152, 723.60
2a5eaf3, 21-07-2015, 4194304, 1463.72
c6fb82b, 23-07-2015, -------------------------------------------------------,
c6fb82b, 23-07-2015, --------------------------------------------------------------------------,
c6fb82b, 23-07-2015, mpirun, detected that one or more processes exited with non-zero status, thus causing
c6fb82b, 23-07-2015, the, job to be terminated. The first process to do so was:
c6fb82b, 23-07-2015, ,
c6fb82b, 23-07-2015, Process, name: [[6400,1],0]
c6fb82b, 23-07-2015, Exit, code: 127
c6fb82b, 23-07-2015, --------------------------------------------------------------------------,
beaa50c, 24-07-2015, -------------------------------------------------------,
beaa50c, 24-07-2015, --------------------------------------------------------------------------,
beaa50c, 24-07-2015, mpirun, detected that one or more processes exited with non-zero status, thus causing
beaa50c, 24-07-2015, the, job to be terminated. The first process to do so was:
beaa50c, 24-07-2015, ,
beaa50c, 24-07-2015, Process, name: [[2643,1],0]
beaa50c, 24-07-2015, Exit, code: 127
beaa50c, 24-07-2015, --------------------------------------------------------------------------,
beaa50c, 25-07-2015, -------------------------------------------------------,
beaa50c, 25-07-2015, --------------------------------------------------------------------------,
beaa50c, 25-07-2015, mpirun, detected that one or more processes exited with non-zero status, thus causing
beaa50c, 25-07-2015, the, job to be terminated. The first process to do so was:
beaa50c, 25-07-2015, ,
beaa50c, 25-07-2015, Process, name: [[25162,1],0]
